Ticker,Model,MAE,RMSE,CV_RMSE,Trades,Win Rate %,Total Return %,Avg Trade %,Profit Factor,Avg RR,Sharpe,MDE %,Stat Sig,Tune Time (s),Best Params
MGNT,Ridge,0.002554588901997606,0.003956063850148436,0.0067042467877139805,1440,48.4,-41.77,-0.0359,0.83,0.89,-2.51,0.04,False,2.5,{'alpha': 0.010934508675626562}
MGNT,Lasso,0.002533451379875667,0.003943376691567235,0.006717000611043166,406,43.8,-22.65,-0.0603,0.81,1.04,-3.15,0.11,False,11.7,{'alpha': 0.00010806039452072894}
MGNT,LightGBM,0.00336301724878683,0.004667365590060455,0.006708877967208013,4632,34.3,-98.46,-0.0893,0.49,0.94,-9.29,0.02,True,409.6,"{'n_estimators': 2000, 'learning_rate': 0.013447662249174056, 'max_depth': 3, 'num_leaves': 22, 'min_child_samples': 177, 'colsample_bytree': 0.7360067021761001, 'subsample': 0.2669273249312648, 'reg_alpha': 4.514398416231702, 'reg_lambda': 0.024438956195631276}"
MGNT,CatBoost,0.0030943880891815944,0.004528134099213682,0.006732785368923762,4375,33.7,-98.31,-0.0925,0.47,0.93,-9.67,0.02,True,506.6,"{'iterations': 500, 'learning_rate': 0.0019261017678149674, 'depth': 2, 'l2_leaf_reg': 2.479554845154804, 'bagging_temperature': 0.35888358405364595, 'random_strength': 1.9234995284690055}"
VTBR,Ridge,0.0025574545646369776,0.005750778314967238,0.006644244679938156,1767,45.1,-62.98,-0.0505,0.8,0.97,-1.98,0.07,False,2.1,{'alpha': 2.6997851039876517}
VTBR,Lasso,0.002523821716930189,0.005704683842631986,0.006594176685070015,123,49.6,-0.43,0.015,1.03,1.05,0.3,0.5,False,4.0,{'alpha': 0.0002763227054314771}
VTBR,LightGBM,0.002508859206887464,0.005696804782860918,0.0065867061198244545,201,59.2,-6.01,-0.0266,0.91,0.63,-1.17,0.18,False,339.0,"{'n_estimators': 1500, 'learning_rate': 0.003474310120762452, 'max_depth': 2, 'num_leaves': 11, 'min_child_samples': 135, 'colsample_bytree': 0.7164700466322449, 'subsample': 0.6884417951267933, 'reg_alpha': 4.514398416231702, 'reg_lambda': 0.28509514842562655}"
VTBR,CatBoost,0.00250628717105484,0.005709955811094608,0.006607477174297102,413,61.0,-22.71,-0.0501,0.82,0.52,-1.4,0.2,False,613.9,"{'iterations': 2000, 'learning_rate': 0.002487400378610362, 'depth': 6, 'l2_leaf_reg': 0.7860104049634167, 'bagging_temperature': 0.6222953485638714, 'random_strength': 9.920777801834387}"
TATN,Ridge,0.002672584793729408,0.004336956081489149,0.006351885615977596,2616,45.0,-73.61,-0.0494,0.77,0.94,-3.57,0.03,True,2.0,{'alpha': 1.351176875484854}
TATN,Lasso,0.002670216170215938,0.004336347412834168,0.006362921694670921,1997,43.8,-69.13,-0.0571,0.76,0.97,-3.86,0.04,True,60.2,{'alpha': 1.120912230068627e-06}
TATN,LightGBM,0.002625420025027003,0.004261243001026388,0.006333369819751616,1660,46.2,-33.44,-0.0233,0.86,1.0,-1.92,0.03,False,585.8,"{'n_estimators': 2500, 'learning_rate': 0.010546524811056808, 'max_depth': 4, 'num_leaves': 24, 'min_child_samples': 138, 'colsample_bytree': 0.25403660065117795, 'subsample': 0.6657518474385697, 'reg_alpha': 1.7809967663520714, 'reg_lambda': 0.02875685886709643}"
TATN,CatBoost,0.0026403366140457713,0.004257390135688124,0.0064127662906573075,161,64.6,20.07,0.1161,1.61,0.88,6.73,0.15,False,377.6,"{'iterations': 500, 'learning_rate': 0.0027057837707025398, 'depth': 4, 'l2_leaf_reg': 1.843591170627798, 'bagging_temperature': 0.9984022583196867, 'random_strength': 8.918611544370965}"
YDEX,Ridge,0.0026130754532909728,0.004446841895226342,0.008232550073856345,2743,48.3,-36.15,-0.0142,0.94,1.01,-0.87,0.04,False,1.8,{'alpha': 99.31901475257159}
YDEX,Lasso,0.0025923136270023604,0.004440233277920504,0.008225734327067937,1623,49.7,-9.01,-0.002,0.99,1.0,-0.09,0.06,False,11.5,{'alpha': 0.00010570838555767616}
YDEX,LightGBM,0.002583300517562897,0.004448032661361966,0.008240067448763554,1000,54.1,54.17,0.0459,1.39,1.18,2.48,0.07,False,461.1,"{'n_estimators': 3500, 'learning_rate': 0.023400383905811683, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 127, 'colsample_bytree': 0.5666029198267706, 'subsample': 0.6702974049774894, 'reg_alpha': 8.764007343993386, 'reg_lambda': 9.623232049070886}"
YDEX,CatBoost,0.0025991526000871965,0.004661398757839481,0.011640271263410525,573,59.3,75.75,0.1038,1.54,1.05,3.93,0.12,False,436.0,"{'iterations': 1000, 'learning_rate': 0.00125255471752066, 'depth': 6, 'l2_leaf_reg': 3.0371655104973216, 'bagging_temperature': 0.5621797181332068, 'random_strength': 0.031567069100725334}"
GLDRUB_TOM,Ridge,0.0023793272567051655,0.0035376163747395874,0.006009844259437832,2438,41.8,-76.44,-0.0585,0.64,0.9,-6.05,0.02,True,1.4,{'alpha': 2.2218850511261454}
GLDRUB_TOM,Lasso,0.0023240505609956395,0.0034908476765051133,0.005900666659823598,17,29.4,-0.9,-0.0478,0.89,2.15,-1.87,0.7,False,6.0,{'alpha': 0.0003995807749294683}
GLDRUB_TOM,LightGBM,0.002325946305325907,0.003485496983408249,0.005894479831232739,260,40.0,-24.2,-0.1057,0.47,0.71,-10.24,0.07,True,516.4,"{'n_estimators': 3000, 'learning_rate': 0.003598932359077865, 'max_depth': 4, 'num_leaves': 22, 'min_child_samples': 155, 'colsample_bytree': 0.7447669667055055, 'subsample': 0.7053086370703667, 'reg_alpha': 3.1975974442800363, 'reg_lambda': 1.8051850865431962}"
GLDRUB_TOM,CatBoost,0.0023555732914308783,0.003510342469962506,0.005914163478157782,248,44.0,-14.46,-0.0619,0.68,0.87,-5.38,0.08,False,477.0,"{'iterations': 500, 'learning_rate': 0.00340386284206932, 'depth': 3, 'l2_leaf_reg': 2.391812526506979, 'bagging_temperature': 0.20666356627562865, 'random_strength': 7.417432568981521}"
